Date,120GB_Forecast,120GB_CI_Lo_80,120GB_CI_Hi_80,120GB_CI_Lo_95,120GB_CI_Hi_95,1TB_Forecast,1TB_CI_Lo_80,1TB_CI_Hi_80,1TB_CI_Lo_95,1TB_CI_Hi_95,240GB_Forecast,240GB_CI_Lo_80,240GB_CI_Hi_80,240GB_CI_Lo_95,240GB_CI_Hi_95,250GB_Forecast,250GB_CI_Lo_80,250GB_CI_Hi_80,250GB_CI_Lo_95,250GB_CI_Hi_95,256GB_Forecast,256GB_CI_Lo_80,256GB_CI_Hi_80,256GB_CI_Lo_95,256GB_CI_Hi_95,2TB_Forecast,2TB_CI_Lo_80,2TB_CI_Hi_80,2TB_CI_Lo_95,2TB_CI_Hi_95,480GB_Forecast,480GB_CI_Lo_80,480GB_CI_Hi_80,480GB_CI_Lo_95,480GB_CI_Hi_95,4TB_Forecast,4TB_CI_Lo_80,4TB_CI_Hi_80,4TB_CI_Lo_95,4TB_CI_Hi_95,500GB_Forecast,500GB_CI_Lo_80,500GB_CI_Hi_80,500GB_CI_Lo_95,500GB_CI_Hi_95,512GB_Forecast,512GB_CI_Lo_80,512GB_CI_Hi_80,512GB_CI_Lo_95,512GB_CI_Hi_95
2027-03-01,156.37011876833748,119.18141215028628,193.55882538638866,99.42491175944657,213.3153257772284,251.35814510349445,149.98933671725283,352.72695348973605,96.13715726206198,406.5791329449269,95.36313823214903,56.32030621362857,134.4059702506695,35.57880170378958,155.1474747605085,135.99668912185982,91.64367158957597,180.34970665414366,68.08113102555018,203.91224721816945,62.72290484810126,39.906017568291446,85.53979212791107,27.784546200892486,97.66126349531004,447.1564236912875,286.99591266073594,607.3169347218391,201.91064117575544,692.4022062068195,177.6056552929515,106.74276965322917,248.46854093267382,69.0968616571267,286.1144489287763,829.1729610519221,532.7289068674874,1125.617015236357,375.24300308200634,1283.1029190218378,293.62223435313075,220.8334383322353,366.4110303740262,182.1643904461346,405.0800782601269,100.35602624800269,53.89543236661246,146.81662012939293,29.213241867123898,171.49881062888147
2027-04-01,164.20191138769042,125.35957413112342,203.0442486442574,104.7245824635722,223.67924031180863,248.43035354828365,142.55408624288827,354.306620853679,86.307319236897,410.5533878596703,95.31583115818185,54.53692308024521,136.0947392361185,32.873128163841365,157.75853415252234,136.21299322955286,89.8877772700612,182.53820918904452,65.27750629158128,207.14848016752444,61.75330250917577,37.921840985927744,85.58476403242379,25.261377051702233,98.24522796664931,444.5177934482887,277.23559542709813,611.7999914694793,188.3669277283406,700.6686591682369,176.13246838955985,102.1185982310426,250.1463385480771,62.79872970933032,289.4662070697894,823.0315345681672,513.4058181215855,1132.657251014749,348.917156259339,1297.1459128769955,306.2620756977836,230.23665775085414,382.28749364471304,189.8481544665479,422.6759969290193,98.85091339206151,50.324405728969225,147.3774210551538,24.544698532951443,173.15712825117157
2027-05-01,172.7444580289221,132.31607162552604,213.1728444323182,110.83849134872187,234.65042470912235,244.98275594287912,134.78324304286448,355.1822688428938,76.23975181473173,413.7257600710265,95.16719736203237,52.7231641414346,137.61123058263013,30.174771492992036,160.15962323107271,136.23437105458393,88.0175575641841,184.45118454498376,62.402375397409216,210.06636671175863,60.67156618122377,35.866994595958374,85.47613776648916,22.68956594128614,98.6535664211614,441.3510160378953,267.23818406955866,615.463848006232,174.7407420863799,707.9612899894107,174.34563792305323,97.30955942411003,251.38171642199643,56.38414272154647,292.30713312456,815.500159002231,493.23149575863556,1137.7688222458264,322.0262684104755,1308.9740495939866,319.6717681589017,240.54200434123908,398.8015319765644,198.5043173131058,440.83921900469767,97.22648065288882,46.71849011534284,147.73447119043482,19.886120142271537,174.56684116350613
2027-06-01,182.05399814519717,140.09947883187755,224.0085174585168,117.8111404466765,246.29685584371782,241.1761269208446,126.81668783391373,355.5355660077755,66.06323581898172,416.2890180227075,94.91952260025818,50.87326773070534,138.96577746981103,27.473694831255386,162.36535036926097,136.11344661274524,86.07649454087675,186.15039868461372,59.49436375269663,212.73252947279383,59.50918513097277,33.76826469826369,85.25010556368184,20.093400718387002,98.92496954355853,437.9065809093786,257.2211561035365,618.5920057152207,161.23202417543285,714.5811376433244,172.2424527219887,92.29833595815907,252.18656948581835,49.82802392737459,294.6568815166028,806.224772644006,471.79077566916357,1140.6587696188483,294.1227147762786,1318.3268305117333,334.05061890862953,251.93378220827404,416.16745560898505,208.3092127112102,459.79202510604887,95.53182666106258,43.11720780042872,147.94644552169643,15.271941530716987,175.79171179140818
2027-07-01,192.18785367382304,148.7608004184948,235.6149069291513,125.69017837660165,258.68552897104445,237.23742986513636,118.8641644157351,355.6106953145376,55.97836714574069,418.496492584532,94.49184713579231,48.8996418805515,140.08405239103314,24.67878283870482,164.3049114328798,135.92391821008528,84.13075223119453,187.717084188976,56.61563280490884,215.2322036152617,58.34253531529742,31.698151330720783,84.98691929987405,17.54332233891445,99.14174829168039,434.53006348469825,247.50288038421675,621.5572465851798,148.14468936208596,720.9154376073105,169.92760745092227,87.17758497477841,252.6776299270661,43.21663553432698,296.63857936751754,795.4410612878975,449.26898650958174,1141.6131360662132,265.3650717836015,1325.5170507921935,349.64424138325353,264.64524010967017,434.6432426568369,219.489520683079,479.798962083428,93.85971622221831,39.60543129954889,148.11400114488774,10.782842434380754,176.93659001005585
2027-08-01,203.2254798666772,158.37421212461084,248.07674760874357,134.54697613663808,271.90398359671633,233.4206908966669,111.16530803754134,355.67607375579246,46.21713589363088,420.62424589970294,93.99299805818671,46.90557094607526,141.08042517029816,21.890375292766052,166.09562082360736,135.7467537288939,82.25500191993379,189.23850553785402,53.83750877142374,217.65599868636406,57.27417129085633,29.75596983959742,84.79237274211525,15.136925318616122,99.41141726309654,431.6083691999706,238.44752508363723,624.7692133163039,135.83082664683513,727.385911753106,167.5274788941783,82.0636231746064,252.9913346137502,36.66094982358385,298.39400796477275,783.8270272711146,426.30204579418523,1141.352008748044,236.36689938456652,1331.2871551576627,366.7282206161593,278.9416295823323,454.5148116499863,232.30500309561168,501.15143813670693,92.32844489508562,36.29486037084808,148.36202941932316,6.527018592346877,178.12987119782437
2027-09-01,215.28152844686576,169.0498998610163,261.5131570327152,144.4893471747838,286.0737097189477,229.95758488961658,103.9396206824912,355.975549096742,36.99257719745583,422.92259258177734,93.4721447989297,44.93553589347763,142.00875370438177,19.15046241245622,167.7938271854032,135.65463855139402,80.51660284947724,190.7926742533108,51.22452138283397,220.08475571995405,56.40554908704772,28.040436284406297,84.77066188968914,12.971470108003047,99.83962806609239,429.49534884263,230.3897080863525,628.6009895989075,124.61483643458007,734.3758612506799,165.16225531824603,77.06812924216028,253.25638139433175,30.26812476423973,300.05638587225235,772.3504961201056,403.8221805135113,1140.8788117267,208.0415128475081,1336.6594793927031,385.5888399594737,295.1004931231314,476.07718679581603,247.0285588663246,524.1491210526228,91.05371783987714,33.2956209460255,148.81181473372877,2.6116319711668297,179.49580370858746
2027-10-01,228.50826532222453,180.93631197438165,276.0802186700674,155.66371175834013,301.35281888610893,227.01076185125947,97.33934646689153,356.6821772356274,28.451407043946062,425.5701166585729,92.9703711472435,43.02661261784155,142.91412967664544,16.493990899096772,169.4467513953902,135.69725716104256,78.96068649854737,192.43382782353774,48.8193833340968,222.5751309879883,55.80861868679671,26.621158408432713,84.9960789651607,11.115320135551833,100.50191723804159,428.4353558310564,223.55734172949104,633.3133699326218,114.71589673803442,742.1548149240784,162.92153234218978,72.2734244537028,253.56964023067675,24.116617137944104,301.72644754643545,762.1396627695179,382.92715450062065,1141.3521710384152,181.470509482769,1342.808816056267,406.50469635404875,313.3929556281448,499.6164370799527,263.92734336750846,549.082049340589,90.11986959185965,30.68727820494272,149.5524609787766,0.0,181.1260251530762
2027-11-01,243.09235355801866,194.2168176636804,291.9678894523569,168.25168921981322,317.9330178962241,224.6421794880892,91.41746469138843,357.86689428478996,20.641834955641173,428.6425240205372,92.46260259735189,41.15026852409411,143.77493667060966,13.890591047675912,171.03461414702787,135.89194372453022,77.60065861247618,194.18322883658425,46.63341339669748,225.15047405236297,55.50402991438398,25.516765105876,85.49129472289195,9.586030676356138,101.42202915241182,428.5057889814782,218.0136391434506,638.9979388195057,106.18968454199847,750.8218934209578,160.84135868924352,67.7092810875049,253.97343629098214,18.23286486158125,303.4498525169058,754.1415586629598,364.5377426506632,1143.7453746752565,157.5607153941305,1350.7224019317891,429.73337800871457,334.0701582801181,525.396597737311,283.24907279930125,576.2176832181278,89.55742181527282,28.496238718898795,150.61860491164686,0.0,183.05735843159556
2027-12-01,259.2464350478402,209.1011932736882,309.3916768219921,182.46153358117,336.0313365145104,222.80471727041635,86.11904392628267,359.49039061455005,13.504779962211643,432.1046545786211,91.98005674603205,39.33471279190814,144.62540070015595,11.366873816279806,172.59323967578428,136.22180219982116,76.41620555963007,196.02739884001224,44.64448234452857,227.79912205511374,55.45191898353815,24.685634451764003,86.2182035153123,8.341045794258989,102.56279217281731,429.59542146838515,213.63503245070427,645.5558104860661,98.90607578506132,760.284767151709,158.88224598110506,63.330750477006575,254.43374148520354,12.569018490454283,305.1954734717558,748.9244039585574,349.1993228401737,1148.6494850769411,136.84537349603238,1361.0034344210824,455.50856942561404,357.3601768933087,553.6569619579194,305.2188433605214,605.7982954907067,89.33314020645935,26.68568819687166,151.98059221604703,0.0,185.2620510961405
